CustomerType,orderDate,grossSales,numberOfOrders
New Customer Order,2013-09-05,2390.917603,13
New Customer Order,2013-09-06,847.3782772,6
New Customer Order,2013-09-07,3645.599251,14
New Customer Order,2013-09-08,2461.797753,17
New Customer Order,2013-09-09,1825.187266,9
New Customer Order,2013-09-10,5865.917603,26
New Customer Order,2013-09-11,1421.722846,6
New Customer Order,2013-09-12,5320.973783,26
New Customer Order,2013-09-13,4163.29588,16
New Customer Order,2013-09-14,577.9962547,5
New Customer Order,2013-09-15,4621.741573,28
New Customer Order,2013-09-16,5227.911985,18
New Customer Order,2013-09-17,4646.067416,25
New Customer Order,2013-09-18,3285.393258,16
New Customer Order,2013-09-19,5017.901983,22
New Customer Order,2013-09-20,2434.185606,14
New Customer Order,2013-09-21,3012.784091,19
New Customer Order,2013-09-22,3432.386364,13
